----------------------------------------------------------------------------
## To change the localised text simply change the name after the single '|'
## Do not change anything in the 'Keys' collumn or the translation will fail
## Do not change / delete any line numbers or add new lines in the file.
----------------------------------------------------------------------------

----------------------------------------------------------------------------
KEYS						Translation
----------------------------------------------------------------------------
MSQ_Quest00					|A Second Chance
Morthal_Quest07				|Rare Gifts (Lami)
Morthal_Quest08				|Thane of Hjaalmarch
----------------------------------------------------------------------------
Riften_Quest00				|Bloody Nose
Riften_Quest01				|Bring It!
Riften_Quest02				|Caught Red Handed
Riften_Quest03				|Distant Memories
Riften_Quest04				|Few and Far Between
Riften_Quest05				|Grimsever's Return
Riften_Quest06				|Helping Hand
Riften_Quest07				|Hunt and Gather
Riften_Quest08				|Ice Cold
Riften_Quest09				|Pilgrimage
Riften_Quest10				|Promises to Keep
Riften_Quest11				|Ringmaker
Riften_Quest12				|Sealing the Deal
Riften_Quest13				|Special Delivery
Riften_Quest14				|Spread the Love
Riften_Quest15				|Stabilized
Riften_Quest16				|Stoking the Flames
Riften_Quest17				|Supply and Demand
Riften_Quest18				|Thane of Riften
Riften_Quest19				|The Bonds of Matrimony
Riften_Quest20				|The Book of Love
Riften_Quest21				|The Lover's Requital
Riften_Quest22				|The Raid
Riften_Quest23				|Truth Ore Consequences
Riften_Quest24				|Under the Table
Riften_Quest25				|Unfathomable Depths
Riften_Quest26				|Vald's Debt
Riften_Quest27				|Have a Septim (Edda)
Riften_Quest28				|Have a Septim (Snilf)
----------------------------------------------------------------------------
Solitude_Quest00			|Delivery (Sorex)
Solitude_Quest01			|Elisif's Tribute
Solitude_Quest02			|Finn's Lute
Solitude_Quest03			|Fit for a Jarl
Solitude_Quest04			|Kill the Vampire (Sybille Stentor)
Solitude_Quest05			|Lights Out!
Solitude_Quest06			|No News is Good News
Solitude_Quest07			|Pantea's Flute
Solitude_Quest08			|Return to Grace
Solitude_Quest09			|Rjorn's Drum
Solitude_Quest10			|Tending the Flames
Solitude_Quest11			|The Man Who Cried Wolf
Solitude_Quest12			|The Mind of Madness
Solitude_Quest13			|The Spiced Wine
Solitude_Quest14			|The Wolf Queen Awakened
Solitude_Quest15			|A Few Words With You (Octieve)
Solitude_Quest16			|Dungeon Delving (Noster)
Solitude_Quest17			|Kill the Bandit Leader (Ahtar)
Solitude_Quest18			|Have a septim (Dervenin)
Solitude_Quest19			|Have a septim (Noster)
Solitude_Quest20			|Have a septim (Svari)
Solitude_Quest21			|Rare Gifts (Aldis)
Solitude_Quest22			|Thane of Haafingar
----------------------------------------------------------------------------
Whiterun_Quest00			|Andurs' Amulet of Arkay
Whiterun_Quest01			|Argonian Ale Extraction
Whiterun_Quest02			|Bullying Braith
Whiterun_Quest03			|Greatsword for a Great Man
Whiterun_Quest04			|In My Time Of Need
Whiterun_Quest05			|Missing In Action
Whiterun_Quest06			|Salt for Arcadia
Whiterun_Quest07			|Sleeping Tree Cave
Whiterun_Quest08			|The Blessings of Nature
Whiterun_Quest09			|The Whispering Door
Whiterun_Quest10			|A Few Words With You (Carlotta)
Whiterun_Quest11			|Chop Firewood (Hulda)
Whiterun_Quest12			|Dungeon Delving (Amren)
Whiterun_Quest13			|Fight! (Uthgerd the Unbroken)
Whiterun_Quest14			|Have a Septim (Brenuin)
Whiterun_Quest15			|Have a Septim (Lucia)
Whiterun_Quest16			|Rare Gifts (Ysolda)
Whiterun_Quest17			|Thane of Whiterun
----------------------------------------------------------------------------
Windhelm_Quest00			|Blood on the Ice
Windhelm_Quest01			|Delivery (Hillevi)
Windhelm_Quest02			|Find the Thalmor Assassin
Windhelm_Quest03			|Repairing the Phial
Windhelm_Quest04			|Rise in the East
Windhelm_Quest05			|That Was Always There (Revyn Sadri)
Windhelm_Quest06			|The White Phial
Windhelm_Quest07			|Have a word (Scouts-Many-Marshes)
Windhelm_Quest08			|Some Light Theft (Stands-In-Shallows)
Windhelm_Quest09			|Rare Gifts (Torbjorn)
Windhelm_Quest10			|Have a drink (Torbjorn)
Windhelm_Quest11			|Kill the Bandit Leader (Brunwulf)
Windhelm_Quest12			|Harsh Master
Windhelm_Quest13			|Thane of Eastmarch
Windhelm_Quest14			|Fight! (Rolff)
Windhelm_Quest15			|Dungeon Delving (Oengul)
Windhelm_Quest16			|Dungeon Delving (Shahvee)
Windhelm_Quest17			|Delivery (Adonato)
Windhelm_Quest18			|Have a Septim (Angrenor)
Windhelm_Quest19			|Have a Septim (Silda)
----------------------------------------------------------------------------
Winterhold_Quest00			|Drowned Sorrows
Winterhold_Quest01			|A Few Words With You (Haran)
Winterhold_Quest02			|Dungeon Delving (Jarl Korir)
Winterhold_Quest03			|Have a drink (Ranmir)
Winterhold_Quest04			|Some Light Theft (Malur)
Winterhold_Quest05			|Thane of Winterhold
----------------------------------------------------------------------------
RavenRock_Quest00			|An Axe to Find
RavenRock_Quest01			|Clean Sweep
RavenRock_Quest02			|Feeding the Addiction
RavenRock_Quest03			|Fetch the Netch
RavenRock_Quest04			|First Edition
RavenRock_Quest05			|The Final Descent
RavenRock_Quest06			|It's All In The Taste
RavenRock_Quest07			|March of the Dead
RavenRock_Quest08			|Paid in Full
RavenRock_Quest09			|Pain in the Necklace
RavenRock_Quest10			|Recipe for Distraction
RavenRock_Quest11			|Served Cold
----------------------------------------------------------------------------
SkaalVillage_Quest00		|Convincing Nikulas
SkaalVillage_Quest01		|Filial Bonds
SkaalVillage_Quest02		|Lost Legacy
SkaalVillage_Quest03		|A New Source of Stalhrim
SkaalVillage_Quest04		|A favor for Morwen
SkaalVillage_Quest05		|Kill the Bandit Leader (Fanari)
----------------------------------------------------------------------------
SmallTowns_Quest00			|A Lovely Letter
SmallTowns_Quest01			|Climb the Steps
SmallTowns_Quest02			|Dragon's Breath Mead
SmallTowns_Quest03			|Erik the Slayer
SmallTowns_Quest04			|Grin and Bear It
SmallTowns_Quest05			|Lifting the Shroud
SmallTowns_Quest06			|Mine or Yours
SmallTowns_Quest07			|Special Delivery
SmallTowns_Quest08			|The Straw that Broke
SmallTowns_Quest09			|The Golden Claw
SmallTowns_Quest10			|Chop Firewood (Hod)
SmallTowns_Quest11			|Chop Firewood (Horgeir)
SmallTowns_Quest12			|Chop Firewood (Temba Wide-Arm)
SmallTowns_Quest13			|Harvest Crops (Azzada Lylvieve)
SmallTowns_Quest14			|Harvest Crops (Boti)
SmallTowns_Quest15			|Harvest Crops (Lemkil)
SmallTowns_Quest16			|Harvest Crops (Reldith)
SmallTowns_Quest17			|Have a Drink (Embry)
SmallTowns_Quest18			|Have a Septim (Narfi)
----------------------------------------------------------------------------
TelMithryn_Quest00			|Azra's Staffs
TelMithryn_Quest01			|Briarheart Necropsy
TelMithryn_Quest02			|Experimental Subject (A)
TelMithryn_Quest03			|Experimental Subject (B)
TelMithryn_Quest04			|From the Ashes
TelMithryn_Quest05			|Healing a House
TelMithryn_Quest06			|Heart Stones
TelMithryn_Quest07			|Hunting and Gathering
TelMithryn_Quest08			|Lost Knowledge
TelMithryn_Quest09			|A New Debt
TelMithryn_Quest10			|Old Friends
TelMithryn_Quest11			|Reluctant Steward
TelMithryn_Quest12			|Telvanni Research
TelMithryn_Quest13			|Wind and Sand
----------------------------------------------------------------------------
Thirsk_Quest00				|The Chief of Thirsk Hall
Thirsk_Quest01				|Elmus Favor Quest (Berries)
Thirsk_Quest02				|Elmus Favor Quest (Mead)
Thirsk_Quest03				|Halbarn Favor Quest
Thirsk_Quest04				|Hilund Favor Quest
Thirsk_Quest05				|Retaking Thirsk
Thirsk_Quest06				|Thirsk Rumors
----------------------------------------------------------------------------
CollegeOfWinterhold_Quest00	|First Lessons
CollegeOfWinterhold_Quest01	|Under Saarthal
CollegeOfWinterhold_Quest02	|Hitting the Books
CollegeOfWinterhold_Quest03	|Good Intentions
CollegeOfWinterhold_Quest04	|Revealing the Unseen
CollegeOfWinterhold_Quest05	|Containment
CollegeOfWinterhold_Quest06	|The Staff of Magnus
CollegeOfWinterhold_Quest07	|The Eye of Magnus
CollegeOfWinterhold_Quest08	|Alteration Ritual Spell
CollegeOfWinterhold_Quest09	|Arniel's Endeavor I
CollegeOfWinterhold_Quest10	|Arniel's Endeavor II
CollegeOfWinterhold_Quest11	|Arniel's Endeavor III
CollegeOfWinterhold_Quest12	|Arniel's Endeavor IV
CollegeOfWinterhold_Quest13	|Brelyna's Practice
CollegeOfWinterhold_Quest14	|Conjuration Ritual Spell
CollegeOfWinterhold_Quest15	|Destruction Ritual Spell
CollegeOfWinterhold_Quest16	|Forgotten Names
CollegeOfWinterhold_Quest17	|Illusion Ritual Spell
CollegeOfWinterhold_Quest18	|J'zargo's Experiment
CollegeOfWinterhold_Quest19	|Onmund's Request
CollegeOfWinterhold_Quest20	|Restoration Ritual Spell
CollegeOfWinterhold_Quest21	|The Missing Apprentices
CollegeOfWinterhold_Quest22	|Aftershock
CollegeOfWinterhold_Quest23	|Enchanting Pick-Up
CollegeOfWinterhold_Quest24	|Fetch me that Book!
CollegeOfWinterhold_Quest25	|Filling Soul Gems
CollegeOfWinterhold_Quest26	|Out of Balance
CollegeOfWinterhold_Quest27	|Research Thief
CollegeOfWinterhold_Quest28	|Restocking Soul Gems
CollegeOfWinterhold_Quest29	|Rogue Wizard
CollegeOfWinterhold_Quest30	|Shalidor's Insights
CollegeOfWinterhold_Quest31	|Tolfdir the Absent-Minded
----------------------------------------------------------------------------
Companions_Quest00			|Take Up Arms
Companions_Quest01			|Proving Honor
Companions_Quest02			|The Silver Hand
Companions_Quest03			|Blood's Honor
Companions_Quest04			|Purity of Revenge
Companions_Quest05			|Glory of the Dead
Companions_Quest06			|Animal Extermination (Beast)
Companions_Quest07			|Animal Extermination (Den)
Companions_Quest08			|Animal Pelt Collection
Companions_Quest09			|Dragon Seekers
Companions_Quest10			|Escaped Criminal
Companions_Quest11			|Family Heirloom
Companions_Quest12			|Hired Muscle
Companions_Quest13			|Purity (Farkas)
Companions_Quest14			|Purity (Vilkas)
Companions_Quest15			|Rescue Mission
Companions_Quest16			|Retrieval
Companions_Quest17			|Stealing Plans
Companions_Quest18			|Striking the Heart
Companions_Quest19			|Totems of Hircine
Companions_Quest20			|Trouble in Skyrim
----------------------------------------------------------------------------
DarkBrotherhood_Quest00		|Innocence Lost
DarkBrotherhood_Quest01		|Delayed Burial
DarkBrotherhood_Quest02		|With Friends Like These...
DarkBrotherhood_Quest03		|Sanctuary
DarkBrotherhood_Quest04		|Mourning Never Comes
DarkBrotherhood_Quest05		|Whispers in the Dark
DarkBrotherhood_Quest06		|The Silence Has Been Broken
DarkBrotherhood_Quest07		|Bound Until Death
DarkBrotherhood_Quest08		|Breaching Security
DarkBrotherhood_Quest09		|The Cure for Madness
DarkBrotherhood_Quest10		|Recipe for Disaster
DarkBrotherhood_Quest11		|To Kill an Empire
DarkBrotherhood_Quest12		|Death Incarnate
DarkBrotherhood_Quest13		|Hail Sithis!
DarkBrotherhood_Quest14		|Destroy the Dark Brotherhood!
DarkBrotherhood_Quest15		|Contract: Kill Agnis
DarkBrotherhood_Quest16		|Contract: Kill Anoriath
DarkBrotherhood_Quest17		|Contract: Kill Beitild
DarkBrotherhood_Quest18		|Contract: Kill Deekus
DarkBrotherhood_Quest19		|Contract: Kill Ennodius Papius
DarkBrotherhood_Quest20		|Contract: Kill Helvard
DarkBrotherhood_Quest21		|Contract: Kill Hern
DarkBrotherhood_Quest22		|Contract: Kill Lurbuk
DarkBrotherhood_Quest23		|Contract: Kill Maluril
DarkBrotherhood_Quest24		|Contract: Kill Ma'randru-jo
DarkBrotherhood_Quest25		|Contract: Kill Narfi
DarkBrotherhood_Quest26		|Contract: Kill Safia
DarkBrotherhood_Quest27		|Locate the Assassin of Old
DarkBrotherhood_Quest28		|Take the Hidden Treasure I
DarkBrotherhood_Quest29		|Take the Hidden Treasure II
DarkBrotherhood_Quest30		|Take the Hidden Treasure III
DarkBrotherhood_Quest31		|Take the Hidden Treasure IV
DarkBrotherhood_Quest32		|Where You Hang Your Enemy's Head...
DarkBrotherhood_Quest33		|The Dark Brotherhood Forever
----------------------------------------------------------------------------
ThievesGuild_Quest00		|A Chance Arrangement
ThievesGuild_Quest01		|Taking Care of Business
ThievesGuild_Quest02		|Loud and Clear
ThievesGuild_Quest03		|Dampened Spirits
ThievesGuild_Quest04		|Scoundrel's Folly
ThievesGuild_Quest05		|Speaking With Silence
ThievesGuild_Quest06		|Hard Answers
ThievesGuild_Quest07		|The Pursuit
ThievesGuild_Quest08		|Trinity Restored
ThievesGuild_Quest09		|Blindsighted
ThievesGuild_Quest10		|Darkness Returns
ThievesGuild_Quest11		|Under New Management
ThievesGuild_Quest12		|Meet the Family
ThievesGuild_Quest13		|No Stone Unturned
ThievesGuild_Quest14		|No Stone Unturned (Intro)
ThievesGuild_Quest15		|The Litany of Larceny
ThievesGuild_Quest16		|Caravan Fence Quest
ThievesGuild_Quest17		|Toying With The Dead
ThievesGuild_Quest18		|Imitation Amnesty
ThievesGuild_Quest19		|Silver Lining
ThievesGuild_Quest20		|Summerset Shadows
ThievesGuild_Quest21		|The Dainty Sload
ThievesGuild_Quest22		|The Bedlam Job
ThievesGuild_Quest23		|The Burglary Job
ThievesGuild_Quest24		|The Fishing Job
ThievesGuild_Quest25		|The Heist Job
ThievesGuild_Quest26		|The Numbers Job
ThievesGuild_Quest27		|The Shill Job
ThievesGuild_Quest28		|The Sweep Job
----------------------------------------------------------------------------
Dawnguard_Quest00			|Bolstering the Ranks
Dawnguard_Quest01			|Ancient Technology
Dawnguard_Quest02			|Cleansing Light
Dawnguard_Quest03			|Hide and Seek
Dawnguard_Quest04			|Hunting the Monster
Dawnguard_Quest05			|A Jarl's Justice
Dawnguard_Quest06			|Lost Relic
Dawnguard_Quest07			|Preemptive Strike
Dawnguard_Quest08			|Rescue
----------------------------------------------------------------------------
Vampires_Quest00			|Amulets of Night Power
Vampires_Quest01			|Destroying the Dawnguard
Vampires_Quest02			|The Gift
Vampires_Quest03			|Rings of Blood Magic
Vampires_Quest04			|Ancient Power
Vampires_Quest05			|Culling the Beast
Vampires_Quest06			|Deceiving the Herd
Vampires_Quest07			|New Allegiances
Vampires_Quest08			|Protecting the Bloodline
Vampires_Quest09			|The Hunt
----------------------------------------------------------------------------
Dungeons_Quest00			|Angarvunde
Dungeons_Quest01			|Ansilvund
Dungeons_Quest02			|The Affairs of Hagravens
Dungeons_Quest03			|Repentance
Dungeons_Quest04			|Siege on the Dragon Cult
Dungeons_Quest05			|Frostflow Abyss
Dungeons_Quest06			|The Pale Lady
Dungeons_Quest07			|A Scroll For Anska
Dungeons_Quest08			|Ancestral Worship
Dungeons_Quest09			|Coming of Age
Dungeons_Quest10			|Liar's Retreat
Dungeons_Quest11			|Mistwatch
Dungeons_Quest12			|Telrav's Request
Dungeons_Quest13			|Ragnvald
Dungeons_Quest14			|Rebel's Cairn
Dungeons_Quest15			|Robber's Gorge
Dungeons_Quest16			|The Savior of Selveni Nethri
Dungeons_Quest17			|Infiltration
Dungeons_Quest18			|Evil in Waiting
Dungeons_Quest19			|Volskygge
Dungeons_Quest20			|Silenced Tongues
Dungeons_Quest21			|Yngol's Barrow
----------------------------------------------------------------------------
Misc_DB_Quest00				|Deathbrand
Misc_DB_Quest01				|The Ebony Warrior
Misc_DB_Quest02				|Hrodulf's Madness
Misc_DB_Quest03				|The Kagrumez Gauntlet
Misc_DB_Quest04				|Summoning Karstaag
Misc_DB_Quest05				|Unearthed
Misc_DB_Quest06				|Black Book: Untold Legends
Misc_DB_Quest07				|Black Book: The Winds of Change
Misc_DB_Quest08				|Black Book: The Sallow Regent
Misc_DB_Quest09				|Black Book: Filament and Filigree
Misc_DB_Quest10				|Black Book: The Hidden Twilight
----------------------------------------------------------------------------
Misc_DG_Quest00				|Learn a shout (Durnehviir)
Misc_DG_Quest01				|Forgotten Vale Books Quest
Misc_DG_Quest02				|Impatience of a Saint
Misc_DG_Quest03				|Lost to the Ages
Misc_DG_Quest04				|Soul Cairn Horse Quest
----------------------------------------------------------------------------
Radi_SK_Quest00				|A Few Words with You (Iddra)
Side_SK_Quest00				|Amulet of the Moon
Side_SK_Quest01				|Extracting an Argonian
Side_SK_Quest02				|Gharol's Message
Side_SK_Quest03				|Kyne's Sacred Trials
Side_SK_Quest04				|The Forgemaster's Fingers
Side_SK_Quest05				|Flight or Fight
Side_SK_Quest06				|The Words of Power
Side_SK_Quest07				|Sanuarach Mine
Side_SK_Quest08				|Kolskeggr Mine
Side_SK_Quest09				|Dravynea's Frost Salts
Side_SK_Quest10				|The Cursed Tribe
Side_SK_Quest11				|Bow to the Master
Side_SK_Quest12				|Moss Mother Cavern
Side_SK_Quest13				|The Ghost of Old Hroldan
Side_SK_Quest14				|Boethiah's Calling
Side_SK_Quest15				|Rogatus's Letter
Side_SK_Quest16				|Smooth Jazbay
Side_SK_Quest17				|Discerning the Transmundane
Side_SK_Quest18				|The Black Star
Side_SK_Quest19				|The Only Cure
Side_SK_Quest20				|Soljund's Sinkhole
Side_SK_Quest21				|The Break of Dawn
Side_SK_Quest22				|Payment Delivery
Side_SK_Quest23				|A Night To Remember
Side_SK_Quest24				|Forbidden Legend
Side_SK_Quest25				|A Return To Your Roots
----------------------------------------------------------------------------
Radi_SK_Quest01				|Bounty: Bandit Boss
Radi_SK_Quest02				|Bounty: Dragon
Radi_SK_Quest03				|Bounty: Giant
Radi_SK_Quest04				|Bounty: Forsworn
Radi_SK_Quest05				|Chop Firewood (Aeri)
Radi_SK_Quest06				|Chop Firewood (Grosta)
Radi_SK_Quest07				|Chop Firewood (Ganna)
Radi_SK_Quest08				|Chop Firewood (Gilfre)
Radi_SK_Quest09				|Chop Firewood (Hjorunn)
Radi_SK_Quest10				|Delivery (Aeri)
Radi_SK_Quest11				|Delivery (Sondas)
Radi_SK_Quest12				|Dragon Hunting
Radi_SK_Quest13				|Dragon Research
Radi_SK_Quest14				|Dungeon Delving (Roggi)
Radi_SK_Quest16				|Harvest Crops (Addvild)
Radi_SK_Quest17				|Harvest Crops (Alfhild)
Radi_SK_Quest18				|Harvest Crops (Avrusa)
Radi_SK_Quest19				|Harvest Crops (Belyn)
Radi_SK_Quest20				|Harvest Crops (Bolfrida)
Radi_SK_Quest21				|Harvest Crops (Katla)
Radi_SK_Quest22				|Harvest Crops (Severio)
Radi_SK_Quest23				|Harvest Crops (Synda)
Radi_SK_Quest24				|Harvest Crops (Tulvur)
Radi_SK_Quest25				|Harvest Crops (Vigdis)
Radi_SK_Quest26				|Kill the Bandit Leader (Annekke)
Radi_SK_Quest27				|Mine Ore (Dushnamub)
Radi_SK_Quest28				|Mine Ore (Gestur)
Radi_SK_Quest29				|Mine Ore (Gharol)
Radi_SK_Quest30				|Mine Ore (Grogmar)
Radi_SK_Quest31				|Mine Ore (Kjeld)
Radi_SK_Quest32				|Mine Ore (Pavo Attius)
Radi_SK_Quest33				|Mine Ore (Perth)
Radi_SK_Quest34				|Mine Ore (Shuftharz)
Radi_SK_Quest35				|Mine Ore (Skaggi)
Radi_SK_Quest36				|Mine Ore (Thorgar)
Radi_SK_Quest37				|Mine Ore (Verner)
Radi_SK_Quest38				|Fight! (Chief Burguk)
Radi_SK_Quest39				|Fight! (Chief Larak)
Radi_SK_Quest40				|Fight! (Chief Mauhulakh)
----------------------------------------------------------------------------
Clockwork_Quest00			|Foot Of The Mountain
Clockwork_Quest01			|Shadow Under The Mountain
Clockwork_Quest02			|Steam-Powered
Clockwork_Quest03			|Crystalline Heart
Clockwork_Quest04			|I Against I
Clockwork_Quest05			|A Bed of Dust
Clockwork_Quest06			|Staff Enchanting
----------------------------------------------------------------------------
Falskaar_Quest00			|An Ancient Gate
Falskaar_Quest01			|Welcome To Falskaar
Falskaar_Quest02			|An Army Of Greed
Falskaar_Quest03			|Warning Valfred
Falskaar_Quest04			|Strength And Wisdom
Falskaar_Quest05			|Lost Knowledge
Falskaar_Quest06			|Fort Urokk
Falskaar_Quest07			|Returning The Favor
Falskaar_Quest08			|The Heart Of The Gods
Falskaar_Quest09			|A Craftsman's Finest
Falskaar_Quest10			|A Fortunate Find
Falskaar_Quest11			|A Present From The Past
Falskaar_Quest12			|A Special Kind Of Berry
Falskaar_Quest13			|Kind Blood
Falskaar_Quest14			|Old Friends
Falskaar_Quest15			|Passage Home
Falskaar_Quest16			|Rough Waters
Falskaar_Quest17			|Songs Of The Dead
Falskaar_Quest18			|The Crusher's End
Falskaar_Quest19			|The Forgotten Depths
Falskaar_Quest20			|The Lady In The Lighthouse
Falskaar_Quest21			|Dread Aura
Falskaar_Quest22			|Dreams In Oblivion
Falskaar_Quest23			|No Harm, No Fowl
Falskaar_Quest24			|Runaway Cattle
Falskaar_Quest25			|The Deadliest Catch
----------------------------------------------------------------------------
HelgenReborn_Quest00		|Helgen Reborn Start Up
HelgenReborn_Quest01		|Desperate Times
HelgenReborn_Quest02		|Molon Labe
HelgenReborn_Quest03		|A City on a Hill
HelgenReborn_Quest04		|Bitter Wounds
HelgenReborn_Quest05		|Color me Cienna
HelgenReborn_Quest06		|Going Home
HelgenReborn_Quest07		|The Changing of the Guard - Wanan-Dun
HelgenReborn_Quest08		|The Changing of the Guard - Joto
HelgenReborn_Quest09		|The Changing of the Guard - Herd
HelgenReborn_Quest10		|The Changing of the Guard - Orianthi
HelgenReborn_Quest11		|The Changing of the Guard - Sorian
HelgenReborn_Quest12		|The Changing of the Guard - Kindrick
HelgenReborn_Quest13		|The Changing of the Guard - Toralf
HelgenReborn_Quest14		|The Changing of the Guard - Savard
HelgenReborn_Quest15		|The Changing of the Guard - Herd
HelgenReborn_Quest16		|The Changing of the Guard - Kar
HelgenReborn_Quest17		|The Changing of the Guard - Viggun
HelgenReborn_Quest18		|The Changing of the Guard - Alof
HelgenReborn_Quest19		|The Changing of the Guard - Surus
HelgenReborn_Quest20		|The Changing of the Guard - Cidius
HelgenReborn_Quest21		|The Changing of the Guard - Herd
HelgenReborn_Quest22		|The Changing of the Guard - Josslin
